index,DateTime,data,time,open,high,low,close,pctchange,name,chinese
4248,1128,2022/6/23,1305,222.63,223.42,222.63,222.9,0.000853127,568,泸州老窖
4249,1129,2022/6/23,1310,222.89,223.4,222.82,223,0.000448632,568,泸州老窖
4250,1130,2022/6/23,1315,223,223.13,222.36,222.36,-0.002869955,568,泸州老窖
4251,1131,2022/6/23,1320,222.36,222.87,222.34,222.45,0.000404749,568,泸州老窖
4252,1132,2022/6/23,1325,222.44,223.5,222.44,223.49,0.004675208,568,泸州老窖
4253,1133,2022/6/23,1330,223.5,224,223.33,223.63,0.000626426,568,泸州老窖
4254,1134,2022/6/23,1335,223.68,225.18,223.68,225.18,0.006931092,568,泸州老窖
4255,1135,2022/6/23,1340,225.18,225.96,224.75,225.24,0.000266454,568,泸州老窖
4256,1136,2022/6/23,1345,225.13,225.6,224.5,224.8,-0.001953472,568,泸州老窖
4257,1137,2022/6/23,1350,225,225.25,224.2,225.17,0.001645907,568,泸州老窖
4258,1138,2022/6/23,1355,225.17,226.18,225.17,225.56,0.001732025,568,泸州老窖
4259,1139,2022/6/23,1400,225.62,226.35,224.88,226.34,0.00345806,568,泸州老窖
4260,1140,2022/6/23,1405,226.35,226.35,225.49,225.65,-0.003048511,568,泸州老窖
4261,1141,2022/6/23,1410,225.76,226.28,225.61,226.27,0.002747618,568,泸州老窖
4262,1142,2022/6/23,1415,226.27,226.46,226,226.41,0.00061873,568,泸州老窖
4263,1143,2022/6/23,1420,226.45,226.6,226.12,226.19,-0.000971689,568,泸州老窖
4264,1144,2022/6/23,1425,226.28,226.3,225.74,225.9,-0.001282108,568,泸州老窖
4265,1145,2022/6/23,1430,225.88,226.26,225.8,225.8,-0.000442674,568,泸州老窖
4266,1146,2022/6/23,1435,225.75,226.3,225.52,226.3,0.002214349,568,泸州老窖
4267,1147,2022/6/23,1440,226.33,226.44,225.8,225.9,-0.001767565,568,泸州老窖
4268,1148,2022/6/23,1445,225.9,225.95,225.23,225.95,0.000221337,568,泸州老窖
4269,1149,2022/6/23,1450,225.96,226.17,225.09,225.19,-0.003363576,568,泸州老窖
4270,1150,2022/6/23,1455,225.34,225.9,225.11,225.85,0.002930858,568,泸州老窖
4271,1151,2022/6/23,1500,225.88,226.39,225.85,226.39,0.002390967,568,泸州老窖
4272,1152,2022/6/24,935,227.39,228.43,226.5,227.34,0.004196298,568,泸州老窖
4273,1153,2022/6/24,940,227.38,229.95,227.3,229.55,0.009721123,568,泸州老窖
4274,1154,2022/6/24,945,229.67,230.29,228.6,228.72,-0.00361577,568,泸州老窖
4275,1155,2022/6/24,950,228.6,231.36,228.6,230.2,0.006470794,568,泸州老窖
4276,1156,2022/6/24,955,230.2,231.3,230.02,230.9,0.003040834,568,泸州老窖
4277,1157,2022/6/24,1000,230.9,230.99,230.1,230.21,-0.002988307,568,泸州老窖
4278,1158,2022/6/24,1005,230.36,230.48,229.65,230.13,-0.000347509,568,泸州老窖
4279,1159,2022/6/24,1010,230.12,230.68,229.76,230.5,0.001607787,568,泸州老窖
4280,1160,2022/6/24,1015,230.57,231.78,230.03,231.78,0.005553145,568,泸州老窖
4281,1161,2022/6/24,1020,231.76,231.85,230.81,231.19,-0.002545517,568,泸州老窖
4282,1162,2022/6/24,1025,231.19,231.55,229.81,230,-0.005147281,568,泸州老窖
4283,1163,2022/6/24,1030,229.98,230.49,229.52,230.13,0.000565217,568,泸州老窖
4284,1164,2022/6/24,1035,230.05,230.62,229.65,229.65,-0.002085778,568,泸州老窖
4285,1165,2022/6/24,1040,229.6,230,228.75,228.8,-0.003701285,568,泸州老窖
